fecha,apertura,maximo,minimo,cierre,volumen,openint
"2013-06-04","88.00000","88","88","88.00000","2000","0"
"2013-07-11","79.40000","79.4","79.4","79.40000","149000","0"
"2013-12-19","108.00000","108","108","108.00000","185000","0"
"2013-12-30","105.00000","105","105","105.00000","3000","0"
"2014-01-13","99.00000","99","99","99.00000","2000","0"
"2014-01-20","96.00000","96","96","96.00000","18661","0"
"2014-01-21","95.75000","95.75","95.75","95.75000","5000","0"
"2014-01-23","95.50000","95.5","95.5","95.50000","5816","0"
"2014-01-30","93.00000","93","90","90.00000","61700","0"
"2014-01-31","89.99900","90","89.999","90.00000","62527","0"
"2014-02-03","90.50000","91","90.5","91.00000","20000","0"
"2014-02-24","99.00000","99","99","99.00000","10000","0"
"2014-04-01","99.00000","99","99","99.00000","3200","0"
"2014-04-03","111.00000","111","99","99.00000","15000","0"
"2014-04-07","112.00000","112","112","112.00000","5000","0"
"2014-05-05","116.00000","116","114","114.00000","45500","0"
"2014-05-07","116.00000","116","116","116.00000","45200","0"
"2014-06-10","114.50000","118","114.5","118.00000","7341","0"
"2014-06-18","110.00000","110","110","110.00000","6171","0"
"2014-06-23","121.00000","121","121","121.00000","8436","0"
"2014-07-03","107.00000","107","107","107.00000","12680","0"
"2014-08-27","100.00000","100","100","100.00000","8320","0"
"2014-09-01","100.00000","100","100","100.00000","11907","0"
"2014-09-02","105.00000","105","105","105.00000","3750","0"
"2014-09-08","106.50000","106.5","106.5","106.50000","43855","0"
"2014-11-07","105.00000","105","105","105.00000","9620","0"
"2014-11-18","123.00000","123","123","123.00000","5000","0"
"2015-01-13","114.00000","114","114","114.00000","5000","0"
"2015-02-09","124.00000","124","124","124.00000","5000","0"
"2015-02-12","127.00000","127","127","127.00000","5000","0"
"2015-02-20","131.00000","131","131","131.00000","10000","0"
"2015-02-23","134.00000","134","134","134.00000","10000","0"
"2015-02-25","135.00000","135","135","135.00000","5000","0"
"2015-02-27","133.89999","133.9","133.9","133.89999","35000","0"
"2015-03-06","136.00000","136","136","136.00000","5000","0"
"2015-03-12","137.50000","137.5","137.5","137.50000","5000","0"
"2015-03-17","139.50000","139.5","139.5","139.50000","4347","0"
"2015-03-25","140.50000","140.5","140.5","140.50000","5000","0"
"2015-04-08","140.00000","140","140","140.00000","5000","0"
"2015-04-13","146.00000","146","146","146.00000","3587","0"
"2015-04-16","144.00000","144.5","142","142.00000","27700","0"
"2015-04-17","143.50000","143.5","143","143.00000","18800","0"
"2015-04-20","143.00000","143","143","143.00000","1400","0"
"2015-05-04","140.50000","140.5","140.5","140.50000","5000","0"
"2015-05-07","142.00000","142","142","142.00000","5000","0"
"2015-07-22","142.00000","142","142","142.00000","3450","0"
"2015-09-09","146.00000","146","146","146.00000","5000","0"
"2015-09-15","145.89999","145.9","145.9","145.89999","10600","0"
"2015-10-26","150.00000","150","150","150.00000","47670","0"
"2016-02-19","172.00000","172","172","172.00000","17500","0"
"2016-02-22","170.00000","170","170","170.00000","24100","0"
"2016-02-25","172.00000","172","172","172.00000","11500","0"
"2016-02-26","170.00000","170","170","170.00000","3000","0"
"2016-02-29","164.00000","164","164","164.00000","6600","0"
"2016-04-05","164.00000","164","164","164.00000","10000","0"
"2016-04-06","162.00000","162","162","162.00000","3000","0"
"2016-04-12","165.00000","165","163","163.00000","20000","0"
"2016-04-14","170.00000","170","170","170.00000","18500","0"
"2016-05-06","155.00000","155","152","152.00000","5019","0"
"2016-05-09","152.00000","152","151.47","151.47000","50957","0"
"2016-05-10","151.00000","151","151","151.00000","3311","0"
"2016-05-11","152.00000","152.5","151.5","151.50000","64271","0"
"2016-05-12","151.60001","151.6","151.5","151.50000","174728","0"
"2016-05-13","154.00000","154","154","154.00000","243597","0"
"2016-05-16","156.00000","158","155.5","158.00000","80490","0"
