fecha,apertura,maximo,minimo,cierre,volumen,openint
05-09-2019,"21,95","21,999","22,188","21,902","2,94M",0
04-09-2019,"21,42","21,49","21,639","21,329","3,70M",0
03-09-2019,"20,94","21,37","21,39","20,81","4,59M",0
30-08-2019,"21,64","22,15","22,15","21,435","3,09M",0
29-08-2019,"21,77","22,15","22,26","21,715","3,28M",0
28-08-2019,"22,03","22,12","22,36","21,92","3,02M",0
27-08-2019,"22,05","22,01","22,12","21,885","2,72M",0
26-08-2019,"21,77","21,94","22,045","21,675","2,46M",0
23-08-2019,"21,51","21,58","22,04","21,44","2,69M",0
22-08-2019,"21,79","21,93","22,045","21,72","2,08M",0
21-08-2019,"21,74","21,94","21,95","21,57","2,23M",0
20-08-2019,"21,32","21,69","21,72","21,28","1,78M",0
19-08-2019,"21,78","21,95","21,971","21,7","2,30M",0
16-08-2019,"21,34","20,85","21,43","20,78","2,14M",0
15-08-2019,"20,82","20,82","21,01","20,6","2,10M",0
14-08-2019,"20,92","21,5","21,51","20,77","2,39M",0
13-08-2019,"22,11","21,83","22,45","21,73","3,02M",0
12-08-2019,"21,88","21,95","22,27","21,84","3,31M",0
09-08-2019,"22,85","22,88","22,96","22,665","3,86M",0
08-08-2019,"23,2","23,02","23,26","23,01","2,02M",0
07-08-2019,"23,15","22,7","23,245","22,6","3,17M",0
06-08-2019,"23,29","23,46","23,57","22,86","2,85M",0
05-08-2019,"23,4","23,41","23,66","23,245","2,33M",0
02-08-2019,24,"24,18","24,29","23,65","4,50M",0
01-08-2019,"24,52","23,46","24,89","23,4","8,95M",0
31-07-2019,"24,98","25,29","25,46","24,63","3,40M",0
30-07-2019,"25,08","24,57","25,115","24,53","4,66M",0
29-07-2019,"25,01","25,06","25,102","24,81","2,09M",0
26-07-2019,"25,32","25,37","25,465","25,065","2,03M",0
25-07-2019,"25,59","26,36","26,36","25,495","2,27M",0
24-07-2019,"26,08","25,66","26,24","25,61","1,99M",0
23-07-2019,"25,58","25,56","25,695","25,335","1,76M",0
22-07-2019,"25,38","25,17","25,53","25,115","2,60M",0
19-07-2019,"25,11","24,94","25,18","24,89","4,18M",0
18-07-2019,"25,45","25,71","25,72","25,28","2,23M",0
17-07-2019,"25,63","26,19","26,22","25,63","1,48M",0
16-07-2019,"26,39","26,82","27,05","26,35","1,69M",0
15-07-2019,27,"27,3","27,38","26,86","1,05M",0
12-07-2019,"27,38","27,53","27,6","27,255","1,34M",0
11-07-2019,"27,53","27,34","27,55","27,21","1,88M",0
10-07-2019,"27,28","26,93","27,33","26,84","2,31M",0
09-07-2019,"26,46","26,39","26,495","26,25","1,50M",0
08-07-2019,"26,68","26,38","26,795","26,25","1,27M",0
05-07-2019,"26,44","26,03","26,445","25,93","1,18M",0
03-07-2019,"26,15","26,1","26,16","25,82","1,19M",0
02-07-2019,"25,86","26,42","26,43","25,8","1,88M",0
01-07-2019,"26,37","26,93","26,95","26,26","1,94M",0
28-06-2019,"26,31","26,25","26,31","26,015","1,88M",0
27-06-2019,"25,87","26,09","26,18","25,8","1,20M",0
26-06-2019,"26,1","26,19","26,28",26,"1,77M",0
25-06-2019,"25,4","25,73","25,74","25,33","2,21M",0
24-06-2019,"25,55","25,95","25,99","25,5","2,01M",0
21-06-2019,"25,95","26,09","26,27","25,755","2,00M",0
20-06-2019,"25,74","25,75","25,88","25,47","1,83M",0
19-06-2019,"24,79","24,84","24,925","24,63","1,76M",0
18-06-2019,"24,97","24,85","25,18","24,79","1,45M",0
17-06-2019,"24,44","23,97","24,55","23,83","2,41M",0
14-06-2019,"24,02","24,6","24,61","23,89","1,83M",0
13-06-2019,"24,85","24,65","24,91","24,48","1,67M",0
12-06-2019,"24,13","24,6","24,64","24,08","2,30M",0
11-06-2019,"25,4","25,34","25,54","25,14","2,02M",0
10-06-2019,"24,82","25,08","25,145","24,77","1,26M",0
07-06-2019,"24,52","24,45","24,64","24,23","1,21M",0
06-06-2019,"24,38","24,34","24,53","24,08","1,74M",0
05-06-2019,"24,03","24,73","24,73","23,93","2,13M",0
04-06-2019,"24,79","24,79","24,99","24,605","2,02M",0
03-06-2019,"24,28","23,85","24,54","23,81","2,66M",0
31-05-2019,"23,31","23,54","23,76","23,125","4,17M",0
30-05-2019,"24,12","24,53","24,85","24,01","2,19M",0
29-05-2019,"24,75","24,4","24,8","24,365","2,57M",0
28-05-2019,"24,89","25,23","25,27","24,82","1,61M",0
24-05-2019,"25,41","25,99","26,075","25,39","1,24M",0
23-05-2019,"25,94","25,94","26,01","25,63","2,41M",0
22-05-2019,"26,8","27,29","27,41","26,585","1,99M",0
21-05-2019,"27,72","27,51","27,93","27,405","3,22M",0
20-05-2019,"27,57","27,41","27,645","27,22","1,24M",0
17-05-2019,"27,81","27,59","28,145","27,53","2,51M",0
16-05-2019,"27,92","27,66","28,015","27,51","1,86M",0
15-05-2019,"27,15","26,38","27,21","26,31","1,33M",0
14-05-2019,"26,8","26,52","26,93","26,45","1,81M",0
13-05-2019,"26,16","26,33","26,545","25,935","1,36M",0
10-05-2019,"26,51","26,6","26,7","26,17","1,27M",0
09-05-2019,"26,7","26,3","26,765","26,26","1,17M",0
08-05-2019,"26,82","26,72","27,025","26,69","1,12M",0
07-05-2019,"26,45","26,7","26,76","26,19","1,52M",0
06-05-2019,"27,17","26,65","27,355","26,63","1,92M",0
03-05-2019,"27,35","26,76","27,47","26,74","1,85M",0
02-05-2019,"26,85","27,05","27,05","26,67","2,16M",0
01-05-2019,"27,1","27,78","27,97","27,07","1,09M",0
30-04-2019,"27,74","28,02","28,03","27,68","1,69M",0
29-04-2019,"27,85","27,63","27,925","27,585","1,50M",0
26-04-2019,"28,11","27,97","28,29","27,86","2,23M",0
25-04-2019,"28,32","28,74","28,82","28,31","2,28M",0
24-04-2019,"29,15","30,08","30,08","29,1","1,42M",0
23-04-2019,"30,23","30,15","30,32","30,06","2,32M",0
22-04-2019,"30,11","29,48","30,14","29,38","1,27M",0
18-04-2019,"29,31","29,55","29,61","29,24","789,93K",0
17-04-2019,"29,43","29,79","29,865","29,12","1,69M",0
16-04-2019,"29,46","29,59","29,68","29,31","2,09M",0
15-04-2019,"28,46","28,45","28,605","28,23","1,27M",0
12-04-2019,"28,37","28,3","28,53","28,23","1,75M",0
11-04-2019,"27,94","28,35","28,36","27,75","1,99M",0
10-04-2019,"28,13","28,34","28,47","28,085","1,47M",0
09-04-2019,"28,27","28,71","28,75","28,23","976,76K",0
08-04-2019,"29,04","29,03","29,21","28,96","1,35M",0
05-04-2019,"28,86","28,43","28,945","28,42","1,33M",0
04-04-2019,"28,2","27,97","28,245","27,855","1,17M",0
03-04-2019,"28,27","28,53","28,615","28,24","1,20M",0
02-04-2019,"28,41","28,75","28,87","28,26","1,49M",0
01-04-2019,"28,84","28,65","28,93","28,55","1,15M",0
29-03-2019,"28,25","28,28","28,47","27,99","1,27M",0
28-03-2019,"27,95","27,59","28,03","27,505","3,21M",0
27-03-2019,"28,11","28,14","28,28","27,79","2,22M",0
26-03-2019,"28,35","28,79","29,03","28,21","3,36M",0
25-03-2019,"28,97","28,86","29,12","28,67","3,08M",0
22-03-2019,"29,2","29,64","29,94","29,025","7,57M",0
21-03-2019,"28,75","28,51","28,78","28,47","1,88M",0
20-03-2019,"28,55","28,22","28,58","27,875","1,66M",0
19-03-2019,"28,05","28,45","28,59","27,93","1,13M",0
18-03-2019,"28,08","27,78","28,09","27,78","1,27M",0
15-03-2019,"27,76",28,"28,125","27,71","1,07M",0
14-03-2019,"27,86","27,89","28,18","27,797","3,69M",0
13-03-2019,"27,95","27,43","28,15","27,415","3,40M",0
12-03-2019,"27,11","26,72","27,15","26,71","1,39M",0
11-03-2019,"26,68","25,98","26,68","25,91","1,15M",0
08-03-2019,"25,68","25,52","25,76","25,39","1,57M",0
